"sample","latitude","longitude","date","site","location","successful.count","fov.limited","fov.open","broad.ascidians","broad.macroalgae","broad.molluscs","broad.seagrasses","broad.sponges","broad.substrate","broad.unscorable"
"112",-33.5674,115.3109,20210303,NA,"Geographe",NA,0,100,0,32,0,44,0,24,0
"225",-33.5711,115.3051,20210303,NA,"Geographe",NA,0,100,0,84,0,0,0,16,0
"238",-33.5795,115.3073,20210303,NA,"Geographe",NA,0,100,0,0,0,0,0,100,0
"209",-33.577,115.3287,20210303,NA,"Geographe",NA,8,92,0,4,0,84,0,4,8
"130",-33.562,115.3252,20210303,NA,"Geographe",NA,8,92,0,60,0,32,0,0,8
"161",-33.5657,115.3311,20210303,NA,"Geographe",NA,4,96,0,4,0,0,0,92,4
"194",-33.5686,115.3381,20210303,NA,"Geographe",NA,0,100,0,40,0,48,0,12,0
"242",-33.577,115.3548,20210304,NA,"Geographe",NA,4,96,0,4,0,16,0,76,4
"116",-33.576,115.3534,20210304,NA,"Geographe",NA,0,100,0,8,0,0,0,92,0
"140",-33.5706,115.3452,20210304,NA,"Geographe",NA,0,100,0,4,0,92,0,4,0
"103",-33.5593,115.3395,20210304,NA,"Geographe",NA,4,96,0,0,0,96,0,0,4
"180",-33.549,115.3432,20210304,NA,"Geographe",NA,0,100,0,0,0,100,0,0,0
"224",-33.5461,115.334,20210304,NA,"Geographe",NA,4,96,0,0,0,80,0,16,4
"241",-33.5293,115.3462,20210304,NA,"Geographe",NA,4,96,0,12,0,76,0,0,12
"167",-33.5407,115.3505,20210304,NA,"Geographe",NA,8,92,0,32,0,8,0,52,8
"141",-33.5423,115.3552,20210304,NA,"Geographe",NA,4,96,0,12,0,56,0,28,4
"190",-33.5657,115.3571,20210304,NA,"Geographe",NA,4,96,0,0,0,84,0,12,4
"227",-33.5687,115.362,20210304,NA,"Geographe",NA,4.34782608695652,95.6521739130435,0,20,0,68,0,8,4
"175",-33.5716,115.3713,20210304,NA,"Geographe",NA,4,96,0,36,0,8,0,52,4
"196",-33.5745,115.3762,20210304,NA,"Geographe",NA,0,100,0,4,0,44,0,52,0
"35",-33.5702,115.381,20210304,NA,"Geographe",NA,8,92,0,0,0,84,0,8,8
"17",-33.5696,115.3836,20210304,NA,"Geographe",NA,4,96,0,0,0,92,0,4,4
"8",-33.5684,115.3783,20210304,NA,"Geographe",NA,8,92,0,8,0,76,0,8,8
"25",-33.565,115.3759,20210304,NA,"Geographe",NA,0,100,0,16,0,16,0,68,0
"36",-33.5644,115.3824,20210304,NA,"Geographe",NA,0,100,0,56,0,32,0,12,0
"45",-33.5623,115.3772,20210304,NA,"Geographe",NA,0,100,0,28,0,40,0,32,0
"16",-33.5599,115.3786,20210304,NA,"Geographe",NA,4,96,0,0,0,0,0,96,4
"3",-33.5606,115.3734,20210304,NA,"Geographe",NA,4,96,0,8,0,80,0,8,4
"39",-33.5623,115.3721,20210304,NA,"Geographe",NA,4,96,0,0,0,96,0,0,4
"30",-33.5572,115.3709,20210304,NA,"Geographe",NA,8,92,0,0,0,88,0,4,8
"11",-33.5567,115.3683,20210304,NA,"Geographe",NA,8,92,0,12,0,80,0,0,8
"47",-33.5545,115.3739,20210304,NA,"Geographe",NA,4,96,0,48,0,0,4,44,4
"32",-33.5546,115.3778,20210304,NA,"Geographe",NA,12,88,0,20,0,20,0,48,12
"5",-33.553,115.3803,20210304,NA,"Geographe",NA,20.8333333333333,79.1666666666667,0,20.8333333333333,0,54.1666666666667,0,4.16666666666667,20.8333333333333
"18",-33.552,115.3701,20210304,NA,"Geographe",NA,20,80,0,0,0,80,0,0,20
"44",-33.5505,115.3637,20210304,NA,"Geographe",NA,8,92,0,0,0,56,0,36,8
"7",-33.5412,115.3651,20210304,NA,"Geographe",NA,8,92,0,4,0,52,0,36,8
"21",-33.5377,115.3669,20210304,NA,"Geographe",NA,12,88,0,16,0,32,0,40,12
"234",-33.5264,115.3652,20210304,NA,"Geographe",NA,12,88,0,0,0,44,0,44,12
"210",-33.5094,115.3615,20210304,NA,"Geographe",NA,12,88,0,8,0,8,0,72,12
"191",-33.5152,115.3708,20210304,NA,"Geographe",NA,4,96,0,12,0,56,0,28,4
"34",-33.5314,115.3748,20210304,NA,"Geographe",NA,16,84,0,8,0,68,0,8,16
"2",-33.5375,115.3772,20210304,NA,"Geographe",NA,4,96,0,28,0,48,0,20,4
"42",-33.5392,115.3794,20210304,NA,"Geographe",NA,0,100,0,92,0,0,0,8,0
"14",-33.5443,115.3754,20210304,NA,"Geographe",NA,16,84,0,0,0,84,0,0,16
"10",-33.5452,115.3754,20210304,NA,"Geographe",NA,12,88,0,0,0,88,0,0,12
"22",-33.5495,115.3805,20210304,NA,"Geographe",NA,24,76,0,52,0,4,0,20,24
"15",-33.5541,115.3855,20210304,NA,"Geographe",NA,12,88,0,12,0,56,0,20,12
"43",-33.5566,115.3842,20210304,NA,"Geographe",NA,12,88,0,12,0,72,0,4,12
"27",-33.5593,115.3862,20210304,NA,"Geographe",NA,20,80,0,0,0,80,0,0,20
"13",-33.5619,115.3888,20210304,NA,"Geographe",NA,12,88,0,48,0,12,0,28,12
"9",-33.5628,115.3888,20210304,NA,"Geographe",NA,20,80,0,16,0,60,0,4,20
"41",-33.5568,115.3928,20210304,NA,"Geographe",NA,8,92,0,12,0,76,0,4,8
"1",-33.5551,115.3906,20210304,NA,"Geographe",NA,12,88,0,76,0,0,0,12,12
"33",-33.549,115.3882,20210304,NA,"Geographe",NA,8,92,0,4,0,84,0,4,8
"6",-33.5473,115.3856,20210304,NA,"Geographe",NA,20,80,0,56,0,4,0,20,20
"23",-33.5438,115.3832,20210304,NA,"Geographe",NA,8,92,0,48,0,4,0,40,8
"20",-33.5556,115.401,20210305,NA,"Geographe",NA,12,88,0,0,0,88,0,0,12
"50",-33.5529,115.3971,20210305,NA,"Geographe",NA,20,80,0,0,0,80,0,0,20
"28",-33.5517,115.3933,20210305,NA,"Geographe",NA,16.6666666666667,83.3333333333333,0,0,0,66.6666666666667,0,16.6666666666667,16.6666666666667
"12",-33.5504,115.3959,20210305,NA,"Geographe",NA,32,68,0,4,0,60,0,4,32
"48",-33.549,115.3946,20210305,NA,"Geographe",NA,12,88,0,0,0,88,0,0,12
"19",-33.5464,115.3908,20210305,NA,"Geographe",NA,8,92,0,0,0,92,0,0,8
"37",-33.5413,115.3896,20210305,NA,"Geographe",NA,16,84,0,0,0,48,0,36,16
"24",-33.5361,115.3901,20210305,NA,"Geographe",NA,16,84,0,52,0,24,0,8,16
"38",-33.5335,115.3863,20210305,NA,"Geographe",NA,28,72,0,0,0,72,0,0,28
"49",-33.5314,115.3813,20210305,NA,"Geographe",NA,16,84,0,0,0,40,0,44,16
"29",-33.5283,115.3852,20210305,NA,"Geographe",NA,36,64,0,0,0,64,0,0,36
"223",-33.5182,115.3851,20210305,NA,"Geographe",NA,16,84,0,0,0,84,0,0,16
"148",-33.492,115.3877,20210305,NA,"Geographe",NA,24,76,0,52,0,12,0,12,24
"240",-33.5015,115.3972,20210305,NA,"Geographe",NA,21.7391304347826,78.2608695652174,0,64,0,8,0,8,20
"127",-33.509,115.3957,20210305,NA,"Geographe",NA,24,76,0,20,0,36,0,20,24
"166",-33.5128,115.4015,20210305,NA,"Geographe",NA,28,72,0,4,0,68,0,0,28
"205",-33.524,115.3959,20210305,NA,"Geographe",NA,12,88,0,0,0,56,0,32,12
"131",-33.5344,115.4016,20210305,NA,"Geographe",NA,32,68,0,28,0,0,0,40,32
"31",-33.5401,115.3987,20210305,NA,"Geographe",NA,16,84,0,8,0,72,0,4,16
"4",-33.5436,115.4012,20210305,NA,"Geographe",NA,28,72,0,0,0,72,0,0,28
"40",-33.5453,115.3999,20210305,NA,"Geographe",NA,12,88,0,0,0,88,0,0,12
"26",-33.5479,115.4037,20210305,NA,"Geographe",NA,28,72,0,8,0,48,0,16,28
"46",-33.5452,115.405,20210305,NA,"Geographe",NA,36,64,0,0,0,0,0,64,36
"200",-33.5369,115.4147,20210305,NA,"Geographe",NA,20,80,0,0,0,0,0,80,20
"146",-33.5303,115.4123,20210305,NA,"Geographe",NA,16,84,0,0,0,84,0,0,16
"108",-33.5274,115.4064,20210305,NA,"Geographe",NA,36,64,0,16,0,48,0,0,36
"221",-33.5228,115.4102,20210305,NA,"Geographe",NA,12,88,0,24,0,64,0,0,12
"181",-33.52,115.4132,20210305,NA,"Geographe",NA,16,84,0,24,0,16,0,44,16
"235",-33.5144,115.4159,20210305,NA,"Geographe",NA,16,84,0,36,0,4,0,44,16
"122",-33.5136,115.424,20210305,NA,"Geographe",NA,32,68,0,12,0,48,0,8,32
"142",-33.5049,115.4064,20210305,NA,"Geographe",NA,24,76,0,12,0,64,0,0,24
"215",-33.4974,115.4044,20210305,NA,"Geographe",NA,32,68,0,44,0,16,0,8,32
"104",-33.4936,115.4102,20210305,NA,"Geographe",NA,24,76,0,64,0,0,0,12,24
"202",-33.4861,115.4093,20210305,NA,"Geographe",NA,12,88,0,52,0,0,0,36,12
"110",-33.4769,115.4199,20210305,NA,"Geographe",NA,28,72,0,16,0,56,0,0,28
"184",-33.4693,115.4189,20210305,NA,"Geographe",NA,36,64,0,0,0,0,0,64,36
"212",-33.4724,115.438,20210305,NA,"Geographe",NA,24,76,0,12,0,20,0,44,24
"136",-33.4799,115.4353,20210305,NA,"Geographe",NA,28,72,0,52,0,16,0,4,28
"119",-33.4885,115.4434,20210305,NA,"Geographe",NA,24,76,0,8,0,20,0,48,24
"231",-33.4895,115.4519,20210305,NA,"Geographe",NA,32,68,0,8,0,20,0,40,32
"183",-33.4888,115.4564,20210305,NA,"Geographe",NA,24,76,0,20,0,56,0,0,24
"134",-33.497,115.4527,20210305,NA,"Geographe",NA,12,88,0,52,0,32,4,0,12
"187",-33.495,115.4374,20210305,NA,"Geographe",NA,40,60,0,44,0,0,0,16,40
"248",-33.5017,115.4446,20210305,NA,"Geographe",NA,12,88,0,20,0,48,0,20,12
"113",-33.5025,115.4384,20210305,NA,"Geographe",NA,36,64,0,4,0,56,0,4,36
"195",-33.5032,115.4278,20210305,NA,"Geographe",NA,32,68,0,4,0,60,0,4,32
"226",-33.5062,115.4327,20210305,NA,"Geographe",NA,28,72,0,72,0,0,0,0,28
"171",-33.5091,115.4419,20210305,NA,"Geographe",NA,44,56,0,32,0,8,0,16,44
"151",-33.5174,115.4299,20210305,NA,"Geographe",NA,40,60,0,12,0,40,0,8,40
"165",-33.5258,115.4266,20210305,NA,"Geographe",NA,32,68,0,0,0,0,0,68,32
