"campaignid","sample","filename","period","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","status"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","5.24413","Serranidae","Hypoplectrodes","nigroruber",1,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100","100_R22.avi","1","34.35825","Sparidae","Chrysophrys","auratus",4,-33.4325,115.2142,"10/12/2014","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","37.63096","Carangidae","Pseudocaranx","spp",55,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","1.15671","Gerreidae","Parequula","melbournensis",5,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","41.88744","Monacanthidae","Scobinichthys","granulatus",3,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","16.73507","Mullidae","Upeneichthys","vlamingii",1,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","45.60950","Myliobatidae","Myliobatis","tenuicaudatus",1,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","18.87221","Neosebastidae","Neosebastes","pandus",1,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","59.94439","Ostraciidae","Anoplocapros","amygdaloides",1,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","44.60794","Paralichthyidae","Pseudorhombus","spp",1,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","14.87877","Platycephalidae","Platycephalus","spp",3,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","33.56023","Sillaginidae","Sillago","spp",16,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","52.87120","Triglidae","Chelidonichthys","kumu",1,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","53.21989","Trygonorrhinidae","Trygonorrhina","dumerilii",2,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10001","10001_L14.avi","1","55.73407","Urolophidae","Trygonoptera","ovalis",1,-33.4217,115.3722,"14/12/2014","6:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes",NA,NA,"4","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","47.61873","Carangidae","Pseudocaranx","spp",40,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","44.14414","Carangidae","Trachurus","novaezelandiae",1,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","44.00845","Dasyatidae","Bathytoshia","brevicaudata",1,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","7.35847","Gerreidae","Parequula","melbournensis",3,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","17.56367","Mullidae","Upeneichthys","vlamingii",1,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","50.11956","Myliobatidae","Myliobatis","tenuicaudatus",1,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","20.16795","Ostraciidae","Anoplocapros","amygdaloides",1,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","33.37004","Platycephalidae","Platycephalus","spp",5,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","22.63597","Sillaginidae","Sillaginodes","punctatus",2,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","43.13035","Triakidae","Mustelus","antarcticus",1,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10003","10003_L21.avi","1","23.49627","Trygonorrhinidae","Trygonorrhina","dumerilii",2,-33.4213,115.3594,"14/12/2014","6:23:00","Geographe Bay","Geographe Bay","16.5","Molly","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","23.48793","Carangidae","Pseudocaranx","spp",12,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","9.12023","Gerreidae","Parequula","melbournensis",4,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","59.49783","Heterodontidae","Heterodontus","portusjacksoni",1,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","17.96408","Labridae","Coris","auricularis",2,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","31.07330","Labridae","Eupetrichthys","angustipes",2,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","29.83150","Monacanthidae","Scobinichthys","granulatus",2,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","34.53009","Mullidae","Upeneichthys","vlamingii",1,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","55.72350","Myliobatidae","Myliobatis","australis",1,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","9.42720","Pinguipedidae","Parapercis","haackei",1,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","10005","100005_L21.avi","Time Seabed","46.07496","Rhinobatidae","Trygonorrhina","dumerilii",2,-33.4778,115.3694,"14/12/2014","14:03:00","Geographe Bay","Geographe Bay","13.7","Curtin","Yes","Yes",NA,"5","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","33.94005","Carangidae","Pseudocaranx","spp",3,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","10.22133","Carangidae","Seriola","hippos",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","1.02658","Chaetodontidae","Chelmonops","curiosus",3,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","12.51140","Cheilodactylidae","Cheilodactylus","gibbosus",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","4.13247","Enoplosidae","Enoplosus","armatus",2,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","39.50784","Heterodontidae","Heterodontus","portusjacksoni",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","1.91469","Labridae","Austrolabrus","maculatus",2,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","41.16561","Labridae","Bodianus","frenchii",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","0.24358","Labridae","Choerodon","rubescens",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","12.25559","Labridae","Coris","auricularis",15,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","2.00033","Labridae","Ophthalmolepis","lineolatus",3,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","2.44244","Labridae","Pseudolabrus","biserialis",3,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","8.25103","Monacanthidae","Meuschenia","flavolineata",2,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","41.42142","Myliobatidae","Myliobatis","australis",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","21.08998","Ostraciidae","Aracana","ornata",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","10.62952","Rhinobatidae","Trygonorrhina","dumerilii",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","11.95918","Scorpididae","Neatypus","obliquus",7,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","25.97987","Serranidae","Hypoplectrodes","nigroruber",1,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","101","101_L17.avi","P1","49.12301","Sparidae","Pagrus","auratus",4,-33.3886,115.3768,"14/12/2014","6:47:00","Geographe Bay","Geographe Bay","16.7","Curtin","Yes","No",NA,"BH","Special Purpose Zone (Mining Exclusion)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","20.22133","Carangidae","Pseudocaranx","spp",9,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","14.28373","Carangidae","Trachurus","novaezelandiae",108,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","50.60282","Dasyatidae","Dasyatis","brevicaudata",1,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","24.84874","Gerreidae","Parequula","melbournensis",3,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","3.23268","Monacanthidae","Acanthaluteres","vittiger",1,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","4.04905","Mullidae","Parupeneus","chrysopleuron",1,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","28.47181","Myliobatidae","Myliobatis","tenuicaudatus",1,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","20.06340","Oplegnathidae","Oplegnathus","woodwardi",1,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","3.92392","Pinguipedidae","Parapercis","ramsayi",1,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","3.94672","Platycephalidae","Platycephalus","spp",4,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102","102_L25.avi","1","54.01290","Rhinobatidae","Aptychotrema","vincentiana",1,-33.5185,115.1196,"9/12/2014","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes",NA,NA,"1","Multiple Use Zone","Fished"
